Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
1548F1       F    Yes    0000DF8F-0000DF96        8
154900     350    No     0000DF97-0000E2EB      355
154C50       E    Yes    0000E2EC-0000E2F3        8
154C5E      13    No     0000E2F4-0000E30B       18
154C71       F    Yes    0000E30C-0000E313        8
154C80      11    No     0000E314-0000E329       16
154C91      2E    Yes    0000E32A-0000E331        8
154CC0      CE    No     0000E332-0000E404       D3
154D8E       A    Yes    0000E405-0000E40C        8
154D9C      13    No     0000E40D-0000E424       18
154DB7      48    No     0000E425-0000E471       4D
154DFF      21    Yes    0000E472-0000E479        8
154E20      11    No     0000E47A-0000E48F       16
154E31      10    Yes    0000E490-0000E497        8
154E41      16    No     0000E498-0000E4B2       1B
154E60     178    No     0000E4B3-0000E62F      17D
154FD8      28    Yes    0000E630-0000E637        8
155000      E0    No     0000E638-0000E71C       E5
1550E3      1D    Yes    0000E71D-0000E724        8
155100       3    No     0000E725-0000E72C        8
155103      1D    Yes    0000E72D-0000E734        8
155120      C0    No     0000E735-0000E7F9       C5
1551E8       8    No     0000E7FA-0000E806        D
1551F0      2E    Yes    0000E807-0000E80E        8
155220      D7    No     0000E80F-0000E8EA       DC
155304      1C    Yes    0000E8EB-0000E8F2        8
155320      50    No     0000E8F3-0000E947       55
155376      3C    No     0000E948-0000E988       41
1553B8      18    No     0000E989-0000E9A5       1D
1553E8       8    No     0000E9A6-0000E9B2        D
1553FE     1E2    No     0000E9B3-0000EB99      1E7
1555E0      20    Yes    0000EB9A-0000EBA1        8
155600      D5    No     0000EBA2-0000EC7B       DA
1556D5      2D    Yes    0000EC7C-0000EC83        8
155702      1D    No     0000EC84-0000ECA5       22
15571F      21    Yes    0000ECA6-0000ECAD        8
155740     3F1    No     0000ECAE-0000F0A3      3F6
155B38     3BE    No     0000F0A4-0000F466      3C3
155EF8      2F    Yes    0000F467-0000F46E        8
155F43      9C    No     0000F46F-0000F50F       A1
155FDF      44    Yes    0000F510-0000F517        8
156029       7    No     0000F518-0000F523        C
15603D      3A    No     0000F524-0000F562       3F
156080      7F    No     0000F563-0000F5E6       84
156100      1E    Yes    0000F5E7-0000F5EE        8
156120      DB    No     0000F5EF-0000F6CE       E0
1561FC      24    Yes    0000F6CF-0000F6D6        8
156220      C0    No     0000F6D7-0000F79B       C5
1562E7      1C    Yes    0000F79C-0000F7A3        8
156305     1EA    No     0000F7A4-0000F992      1EF
1564EF       F    Yes    0000F993-0000F99A        8
1564FE     171    No     0000F99B-0000FB10      176
156670      10    Yes    0000FB11-0000FB18        8
156681      7C    No     0000FB19-0000FB99       81
1566FD      23    Yes    0000FB9A-0000FBA1        8
156722       D    No     0000FBA2-0000FBB3       12
156732       B    Yes    0000FBB4-0000FBBB        8
15673E      12    No     0000FBBC-0000FBD2       17
156758      18    No     0000FBD3-0000FBEF       1D
156778      1E    No     0000FBF0-0000FC12       23
15679E       1    No     0000FC13-0000FC18        6
1567AA       5    No     0000FC19-0000FC22        A
1567C0      10    No     0000FC23-0000FC37       15
1567DA      8E    No     0000FC38-0000FCCA       93
15686E      11    Yes    0000FCCB-0000FCD2        8
156880      70    No     0000FCD3-0000FD47       75
1568F0      10    Yes    0000FD48-0000FD4F        8
156900      2F    No     0000FD50-0000FD83       34
156936     1CF    No     0000FD84-0000FF57      1D4
156B06      19    Yes    0000FF58-0000FF5F        8
156B20      78    No     0000FF60-0000FFDC       7D
156BA0      A1    No     0000FFDD-00010082       A6
156C41      1F    Yes    00010083-0001008A        8
156C60      71    No     0001008B-00010100       76
156CD1      4F    Yes    00010101-00010108        8
156D20       3    No     00010109-00010110        8
156D23      1C    Yes    00010111-00010118        8
156D40      6F    No     00010119-0001018C       74
156DAF      70    Yes    0001018D-00010194        8
156E20       5    No     00010195-0001019E        A
156E25      1A    Yes    0001019F-000101A6        8
156E40      2D    No     000101A7-000101D8       32
156E70      3B    Yes    000101D9-000101E0        8
156EAC       4    No     000101E1-000101E9        9
156EB0      17    Yes    000101EA-000101F1        8
156EC8      4F    No     000101F2-00010245       54
156F17      2F    Yes    00010246-0001024D        8
156F46       9    No     0001024E-0001025B        E
156F4F      11    Yes    0001025C-00010263        8
156F60      43    No     00010264-000102AB       48
156FA3      5D    Yes    000102AC-000102B3        8
157002      4E    No     000102B4-00010306       53
157050       F    Yes    00010307-0001030E        8
15705F     1E2    No     0001030F-000104F5      1E7
157241      1E    Yes    000104F6-000104FD        8
157260     3F0    No     000104FE-000108F2      3F5
157650       E    Yes    000108F3-000108FA        8
15765E     1A2    No     000108FB-00010AA1      1A7
157800      46    Yes    00010AA2-00010AA9        8
157846       7    No     00010AAA-00010AB5        C
15784D      12    Yes    00010AB6-00010ABD        8
157860      7D    No     00010ABE-00010B3F       82
1578DD      24    Yes    00010B40-00010B47        8
157902      CE    No     00010B48-00010C1A       D3
1579D0      1E    Yes    00010C1B-00010C22        8
1579EE       1    No     00010C23-00010C28        6
1579EF      11    Yes    00010C29-00010C30        8
157A00     116    No     00010C31-00010D4B      11B
157B20     216    No     00010D4C-00010F66      21B
157D36      10    Yes    00010F67-00010F6E        8
157D46       3    No     00010F6F-00010F76        8
157D49      16    Yes    00010F77-00010F7E        8
157D60      A0    No     00010F7F-00011023       A5
157E6A       3    No     00011024-0001102B        8
157E80      17    No     0001102C-00011047       1C
157EA0      51    No     00011048-0001109D       56
157EF8       3    No     0001109E-000110A5        8
157F10      EF    Yes    000110A6-000110AD        8
158003     2CE    No     000110AE-00011380      2D3
1582D1       F    Yes    00011381-00011388        8
1582E0     1EF    No     00011389-0001157C      1F4
1584CF      11    Yes    0001157D-00011584        8
1584E0      83    No     00011585-0001160C       88
158563       E    Yes    0001160D-00011614        8
158571       1    No     00011615-0001161A        6
158572       E    Yes    0001161B-00011622        8
158580      F0    No     00011623-00011717       F5
158677     20E    No     00011718-0001192A      213
